dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,27,34,6.3,5.2,9.8,5.5,9,12.3,10.3,9,3.8,9.8
2,27.3,27.5,8.8,6,10.9,6,8.9,9.8,8.4,6.2,4.2,18.1
3,38.4,19.2,9.5,8.2,9.1,8.5,8,8.2,7.8,8.7,2.8,21.6
4,33.7,32.3,9,9.1,8.5,10.6,9.5,7.1,4.1,9.6,3.2,7.5
5,20.5,18.3,11.1,6.3,13.9,9.8,7.3,7.7,1.7,10,7.6,8.1
6,22.3,16.5,11.3,4.1,10.1,10.4,8,15.2,2.3,10.2,6.4,20.4
7,17.7,12.1,13.7,4,5.8,11.6,6.7,13.4,5.3,10.2,15.6,11.3
8,20.3,13.4,14.5,3.7,12.7,11.3,6,11.3,9.5,13,16.9,11.8
9,16,10.6,14.7,4.7,9.4,11.9,7,8.3,14.3,9.8,6,14.4
10,31.2,6.5,18.6,6.5,6.9,10.5,7.6,8.4,7.8,5.8,6.9,13.5
11,30,9.7,12.7,3.8,5.3,12.7,5.8,3.9,10.1,4.8,13.3,5.4
12,26.1,10.7,8.9,4.5,5.1,12.9,5.3,5.4,13.3,12,11.9,6
13,20.8,11.5,11.6,6.3,4.4,20.7,5.8,5,33,9.7,20.7,7.3
14,34.2,10.7,18.4,4.5,4.6,20.1,7.3,8.8,6.1,9.2,30.9,3.1
15,23.5,10.5,12.6,5.4,7,18.3,11.1,36.3,8.3,7.4,7.5,1.3
16,26.8,13.3,11.6,4.3,6.3,18.8,10.7,23.8,4.9,8.2,3.2,14.5
17,18.2,14.7,11.6,7.8,6.6,17.7,9.9,30.8,3.9,4.2,4.8,20
18,21.8,19.8,7.6,10.4,15,14.1,6.3,29.9,5.3,4.9,13.1,29.3
19,14.5,20.7,8.3,10,9.4,10,7.1,15.2,7.4,8.3,23.5,21.5
20,15.2,17.1,12.2,9.8,5.9,10.9,8.2,12.8,8.3,3.5,9.8,8.6
21,17.4,21.6,7.2,10.1,6.8,9.8,8.3,13.7,9,5.6,21.3,12.9
22,22.8,6.5,8,11.9,7.1,11.7,10.9,11.9,12,14.6,20.7,7.5
23,23.6,4.8,7,14.3,9.4,11.8,15.2,10,13.3,14.1,14.4,7
24,27.6,4.8,5.3,6.5,11,13.5,7.5,11.2,12.3,14.8,4.5,7.4
25,23.4,14.7,5.1,5.1,6.5,12.9,6.5,14.6,9.4,6.5,6.3,8.8
26,24,13,9.7,5.6,6,16.3,8.3,13.3,5.5,7.2,4.6,5.5
27,25.3,7.3,11.2,3.8,7,10.9,8.4,10,8.2,13.2,2.3,15.7
28,22,7.1,7.1,6.8,9,7.7,7.3,5.7,8.2,8.9,6.5,10.2
29,20,,7.9,9.3,9.2,7.4,11.5,3.8,8.7,4.8,10,14
30,11.2,,12.3,9.8,9.4,13,11.5,4.8,9,11.4,7.7,20.9
31,7.7,,8.6,,6.5,,8.8,8.1,,12.7,,7.6
 ,,,,,,,,,,,,
  ,,,,,,,,,,,,
